"Result of an Examination into the State of Drainage of the Houses situate in the following Streets, in the Parish of St. James, Westminster, where so many Deaths from Cholera have taken place, as set forth in the Registrar-General's Returns for the Two Weeks ending the 2nd and 9th instant, but which does not include the Deaths that have taken place after removal from the Houses to the Hospitals, or those which occurred at the Workhouse.",,,,,,,,
Name of Street,No. of House,No. of Deaths.,Whether opposite Air Shaft.,Whether opposite untrapped Gully.,Condition of Dust Bin,"Description of Drainage, whether Brick or Pipe, and condition thereof.","Whether any Cesspools, and Number.",Remarks
,10,1,No,No,Good,"Pipe drain, 1 year old",No,Drainage effective.
Bentinck Street,2,1,No,Near,Good,"Pipe drains, 3 years ago",No,Drainage effective.
,5,1,No,Near,Good,"Old brick drains, good",1 in common to 3 houses,Probably old brick drains; no knowledge of cesspools being destroyed.
,8,1,No,Near,Good,Not ascertainable,Uncertain,Probably old brick drains; no knowledge of cesspools being destroyed.
,9,2,No,Near,Good,Not ascertainable; repaired lately,"Yes, 1",Probably old brick drains; no knowledge of cesspools being destroyed; bad smell
,11,4,No,Near,Good,Old brick drains,"Yes, 1","Defective drain, with cesspool."
Duck Lane,2,1,No,No,Good,None,None,This was only a workshop.
,5,1,No,No,Good,-,-,House shut up.
Hopkins Street,9,4,No,No,Good,Not ascertainable,No,Probably old brick drains.
,10,1,No,No,Good,Brick drains lately cleansed,No,All trapped
,11,1,No,Near,Good,"Brick drains, old, lately cleansed",No,All trapped
Kemp's Court,5,2,No,No,Good,Not ascertainable,Uncertain,Bad smells; brick drains; no knowledge of cesspool being destroyed.
Husband Street,6,3,No,No,Good,Old brick drains,Uncertain,No knowledge of cesspits being destroyed.
,8,2,No,No,Good,Old brick drains,Uncertain,No knowledge of cesspits being destroyed.
New Street,11,1,No,No,Good,Brick and pipe drains,No,Drains appeared in good order.
,12,2,No,Near,Good,Pipe drains lately,No,Drainage effective.
,13,1,No,Yes,Good,Pipe drains lately,No,Drainage effective.
,14,1,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; no knowledge of cesspools being destroyed; bad smells occasionally.
,15,3,No,Yes,Good,"Old brick drains, in good order",Uncertain,-
,16,1,No,No,Good,Pipe drains with 18 months,Uncertain,Drainage effective.
,19,1,No,No,-,"No houses, No. 19 and 21",-,Probably model lodging-house.
,21,2,No,No,-,"No houses, No. 19 and 21",-,Probably model lodging-house.
Pulteney Court,2,1,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; no knowledge of cesspools being destroyed.
,3,2,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; no knowledge of cesspools being destroyed.
,6,1,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; no knowledge of cesspools being destroyed.
,7,1,No,No,Good,Brick drains lately repaired,Uncertain,No knowledge of cesspool being destroyed.
